"jahr","gemeinde_bfsnr","listen_code","listen_nr","waehlerproz"
2019,194,"SVP",1,NA
2019,194,"SP",2,NA
2019,194,"FDP",3,NA
2019,194,"GLP",4,NA
2019,194,"Grüne",5,NA
2019,194,"CVP",6,NA
2019,194,"EVP",7,NA
2019,194,"AL",8,NA
2019,194,"BDP",9,NA
2019,194,"EDU",10,NA
2019,195,"SVP",1,NA
2019,195,"SP",2,NA
2019,195,"FDP",3,NA
2019,195,"GLP",4,NA
2019,195,"Grüne",5,NA
2019,195,"CVP",6,NA
2019,195,"EVP",7,NA
2019,195,"AL",8,NA
2019,195,"BDP",9,NA
2019,195,"EDU",10,NA
2019,196,"SVP",1,NA
2019,196,"SP",2,NA
2019,196,"FDP",3,NA
2019,196,"GLP",4,NA
2019,196,"Grüne",5,NA
2019,196,"CVP",6,NA
2019,196,"EVP",7,NA
2019,196,"AL",8,NA
2019,196,"BDP",9,NA
2019,196,"EDU",10,NA
2019,197,"SVP",1,NA
2019,197,"SP",2,NA
2019,197,"FDP",3,NA
2019,197,"GLP",4,NA
2019,197,"Grüne",5,NA
2019,197,"CVP",6,NA
2019,197,"EVP",7,NA
2019,197,"AL",8,NA
2019,197,"BDP",9,NA
2019,197,"EDU",10,NA
2019,198,"SVP",1,NA
2019,198,"SP",2,NA
2019,198,"FDP",3,NA
2019,198,"GLP",4,NA
2019,198,"Grüne",5,NA
2019,198,"CVP",6,NA
2019,198,"EVP",7,NA
2019,198,"AL",8,NA
2019,198,"BDP",9,NA
2019,198,"EDU",10,NA
2019,199,"SVP",1,NA
2019,199,"SP",2,NA
2019,199,"FDP",3,NA
2019,199,"GLP",4,NA
2019,199,"Grüne",5,NA
2019,199,"CVP",6,NA
2019,199,"EVP",7,NA
2019,199,"AL",8,NA
2019,199,"BDP",9,NA
2019,199,"EDU",10,NA
2019,200,"SVP",1,NA
2019,200,"SP",2,NA
2019,200,"FDP",3,NA
2019,200,"GLP",4,NA
2019,200,"Grüne",5,NA
2019,200,"CVP",6,NA
2019,200,"EVP",7,NA
2019,200,"AL",8,NA
2019,200,"BDP",9,NA
